iter	Passed	Remaining
604	68880	158823
605	68971	158657
606	69081	158535
607	69195	158420
608	69308	158305
609	69418	158184
610	69533	158072
611	69643	157949
612	69749	157819
613	69857	157691
614	69960	157552
615	70057	157401
616	70164	157273
617	70267	157135
618	70368	156993
619	70483	156882
620	70597	156770
621	70702	156637
622	70802	156493
623	70892	156327
624	70999	156198
625	71115	156089
626	71243	156007
627	71369	155920
628	71487	155818
629	71606	155715
630	71720	155603
631	71838	155498
632	71951	155384
633	72060	155259
634	72165	155128
635	72280	155017
636	72389	154893
637	72499	154770
638	72588	154605
639	72695	154478
640	72795	154334
641	72921	154248
642	73035	154135
643	73145	154015
644	73262	153909
645	73379	153801
646	73488	153677
647	73589	153538
648	73700	153419
649	73825	153330
650	73934	153207
651	74047	153091
652	74155	152967
653	74271	152858
654	74384	152743
655	74490	152615
656	74612	152518
657	74717	152388
658	74828	152269
659	74922	152115
660	75043	152016
661	75160	151910
662	75272	151792
663	75388	151684
664	75504	151575
665	75601	151429
666	75713	151314
667	75812	151170
668	75930	151065
669	76037	150939
670	76145	150815
671	76242	150670
672	76343	150532
673	76461	150426
674	76577	150318
675	76690	150203
676	76813	150109
677	76922	149987
678	77016	149835
679	77137	149737
680	77239	149601
681	77358	149498
682	77478	149398
683	77586	149275
684	77701	149163
685	77814	149050
686	77916	148914
687	78044	148829
688	78170	148739
689	78254	148570
690	78370	148461
691	78476	148334
692	78593	148227
693	78702	148106
694	78826	148012
695	78963	147943
696	79090	147855
697	79225	147782
698	79363	147713
699	79511	147665
700	79657	147610
701	79788	147529
702	79941	147487
703	80086	147431
704	80234	147380
705	80375	147317
706	80515	147251
707	80662	147197
708	80788	147105
709	80931	147044
710	81060	146957
711	81200	146890
712	81329	146803
713	81466	146730
714	81592	146638
715	81720	146548
716	81847	146457
717	81957	146336
718	82075	146229
719	82193	146121
720	82309	146010
721	82422	145893
722	82539	145785
723	82645	145656
724	82742	145513
725	82857	145399
726	82960	145266
727	83072	145149
728	83175	145015
729	83278	144881
730	83388	144760
731	83503	144648
732	83616	144532
733	83732	144421
734	83845	144304
735	83963	144197
736	84077	144083
737	84199	143984
738	84334	143904
739	84464	143817
740	84579	143704
741	84686	143578
742	84801	143466
743	84915	143351
744	85026	143232
745	85145	143126
746	85263	143019
747	85383	142915
748	85495	142797
749	85613	142689
750	85741	142597
751	85856	142484
752	85968	142368
753	86075	142241
754	86194	142134
755	86299	142005
756	86410	141886
757	86533	141786
758	86638	141657
759	86758	141553
760	86860	141419
761	86980	141315
762	87092	141196
763	87216	141099
764	87335	140992
765	87457	140890
766	87573	140780
767	87696	140679
768	87813	140569
769	87932	140464
770	88043	140344
771	88169	140248
772	88285	140138
773	88402	140027
774	88499	139886
775	88606	139761
776	88724	139653
777	88829	139523
778	88949	139418
779	89072	139318
780	89181	139196
781	89308	139102
782	89422	138987
783	89548	138891
784	89664	138779
785	89763	138642
786	89882	138535
787	90006	138436
788	90116	138315
789	90234	138206
790	90352	138098
791	90461	137977
792	90555	137831
793	90668	137715
794	90778	137595
795	90891	137479
796	91015	137380
797	91137	137277
798	91243	137150
799	91345	137018
800	91462	136908
801	91570	136785
802	91684	136670
803	91786	136537
804	91892	136411
805	91993	136277
806	92107	136164
807	92218	136044
808	92325	135920
809	92443	135811
810	92535	135664
811	92641	135539
812	92749	135416
813	92853	135288
814	92954	135154
815	93058	135026
816	93162	134898
