iter	Logloss
255	0.5440094031
256	0.5437522842
257	0.5435263497
258	0.543153093
259	0.5427638446
260	0.5424924202
261	0.5421992161
262	0.5420625683
263	0.5414813116
264	0.5410394574
265	0.5409552778
266	0.5406587237
267	0.540315906
268	0.5402635615
269	0.5397132245
270	0.5395159405
271	0.5391530747
272	0.5387633724
273	0.5382979287
274	0.5379489242
275	0.5375359007
276	0.5371067307
277	0.536832468
278	0.5363227193
279	0.5359447955
280	0.5354818944
281	0.5350851554
282	0.5345525156
283	0.5340342998
284	0.5336046211
285	0.5330274944
286	0.532576985
287	0.5321962061
288	0.5317206599
289	0.5313130452
290	0.5308627144
291	0.5303016502
292	0.5298569475
293	0.5295067783
294	0.529310262
295	0.5289185244
296	0.5287244426
297	0.5286117976
298	0.5285654463
299	0.5281951041
300	0.5278180481
301	0.5274207229
302	0.5269973122
303	0.5267306247
304	0.5263795917
305	0.5261986311
306	0.5257804339
307	0.525404546
308	0.5248730231
309	0.5240042513
310	0.5236085209
311	0.5229685378
312	0.5225898895
313	0.5222573351
314	0.5217354072
315	0.5214851984
316	0.5211023942
317	0.5208497786
318	0.5205158652
319	0.5202900015
320	0.5200891944
321	0.5198774411
322	0.5195947476
323	0.5190874362
324	0.5188481849
325	0.5183735572
326	0.5178718055
327	0.5175714887
328	0.5171381567
329	0.5168980035
330	0.5165567902
331	0.5162888635
332	0.5160131433
333	0.5157109287
334	0.5154972641
335	0.5150723601
336	0.5147005758
337	0.5145738072
338	0.5141353949
339	0.5140103787
340	0.5138447555
341	0.5136207129
342	0.5132553505
343	0.5130919881
344	0.5130359679
345	0.5126513581
346	0.5121240112
347	0.5118490732
348	0.5116222283
349	0.5115264391
350	0.5114477131
351	0.5111361628
352	0.5110467247
353	0.5108744635
354	0.5108424323
355	0.5102573098
356	0.5101301043
357	0.5097638451
358	0.5094108996
359	0.5090934522
360	0.5088264057
361	0.5085836718
362	0.5082485379
363	0.5078937967
364	0.5076899235
365	0.5073856913
366	0.5073241757
367	0.5072675687
368	0.5072407057
369	0.5071938733
370	0.506871311
371	0.5062441241
372	0.5057744215
373	0.5054039084
374	0.5049827043
375	0.5045684849
376	0.5043586166
377	0.5042970737
378	0.5039804964
379	0.503933292
380	0.5038027127
381	0.5034394512
382	0.5033888463
383	0.5030924925
384	0.5027389994
385	0.5024267864
386	0.5019511494
387	0.5016079061
388	0.5012663666
389	0.500933805
390	0.500429211
391	0.5002012327
392	0.499666235
393	0.4993308285
394	0.4988418547
395	0.4983310468
396	0.4981135968
397	0.4978771181
398	0.4976328709
399	0.4972334868
400	0.4964996427
401	0.4960349759
402	0.4957216084
403	0.495286535
404	0.4950067813
405	0.4948049826
406	0.4944321666
407	0.4942036728
408	0.4936946015
409	0.4934438341
410	0.4930815403
411	0.4927366421
412	0.4925584819
413	0.4921494588
414	0.4920059283
415	0.4915704087
416	0.4911927524
417	0.490932135
418	0.4905945253
419	0.4902467137
420	0.4899205045
421	0.4896805884
422	0.4892418019
423	0.4890212834
424	0.488884043
425	0.488631537
426	0.4882452741
427	0.488221083
428	0.487874759
429	0.4876597732
430	0.4872812208
431	0.4869209272
432	0.4866375259
433	0.4863600987
434	0.4861108619
435	0.485927297
436	0.4857513036
437	0.485590528
438	0.485330133
439	0.4850137273
440	0.4847001891
441	0.4845475646
442	0.4842594702
443	0.4839551408
444	0.483793638
445	0.4837532976
446	0.4834088427
447	0.4833614796
448	0.4829770879
449	0.4827087355
450	0.4824606239
451	0.4820453536
452	0.4817334973
453	0.4813552159
454	0.4811076333
455	0.480739117
456	0.4806059772
457	0.48046591
458	0.4802603101
459	0.4802217912
460	0.4800650521
461	0.4798002992
462	0.4797565506
463	0.4795777062
464	0.4794174834
465	0.4791748867
466	0.4788451623
467	0.4786710617
468	0.4785205435
469	0.4783358281
470	0.4781505115
471	0.4780898206
472	0.477811611
473	0.4775980968
474	0.4771029171
475	0.4768494045
476	0.4764384312
477	0.4760237303
478	0.4758474076
479	0.475306889
480	0.4746036751
481	0.4744426692
482	0.4742246142
483	0.4738081222
484	0.4735135286
485	0.4731859558
486	0.4729526904
487	0.4727030523
488	0.4724515365
489	0.4721580977
490	0.4717627551
491	0.4714964735
492	0.4712650087
493	0.4711040213
494	0.4708096759
495	0.4703398615
496	0.4700022681
497	0.4697280464
498	0.4693663302
499	0.4691961941
500	0.4688831171
501	0.4687140036
502	0.4684927941
503	0.4681742171
504	0.4678929526
505	0.4674913213
506	0.46704131
507	0.4667170531
508	0.4664174745
509	0.466267521
510	0.4660943114
511	0.465624603
512	0.4653004318
513	0.4651235306
514	0.4647384515
515	0.4645443707
516	0.4642129876
517	0.4639979951
518	0.463873209
519	0.4635724236
520	0.4633463164
521	0.4630812449
522	0.4626232567
523	0.4622214234
524	0.4618626194
525	0.4617040475
526	0.461448271
527	0.4609825816
528	0.4607446148
529	0.4604291244
530	0.4601786588
531	0.4599970481
532	0.4598128869
533	0.4595268715
534	0.4592103518
535	0.4590446568
536	0.4588293488
537	0.458523822
538	0.458156209
539	0.4579571137
540	0.4578420357
541	0.4576862105
542	0.4575840984
543	0.4575101416
544	0.4572829778
545	0.4570505336
546	0.4568645841
547	0.4564624862
548	0.456134189
549	0.455895226
550	0.4558661488
551	0.4556341181
552	0.4556003862
553	0.4553880351
554	0.4552091179
555	0.4549959298
556	0.4548333166
557	0.4545844821
558	0.4542410035
559	0.4539229668
560	0.4536854366
561	0.4534004603
562	0.4532339714
563	0.4530601643
564	0.4528924851
565	0.4526614041
566	0.4525720747
567	0.452379261
568	0.4523534018
569	0.452156644
570	0.4519289312
571	0.4518729338
572	0.4517563551
573	0.4516752359
574	0.4516449738
575	0.451493889
576	0.4512112677
577	0.4510195795
578	0.4509717604
579	0.4507399715
580	0.4503068424
581	0.450099155
582	0.4499390908
583	0.4498174254
584	0.4495440224
585	0.4490955713
586	0.4489407522
587	0.4484589617
588	0.4482385139
589	0.4479440868
590	0.447717599
591	0.4474939388
592	0.4470754896
593	0.4468470163
594	0.446447484
595	0.4462521204
596	0.4459691268
597	0.4456375044
598	0.4454387959
599	0.4452719989
600	0.4450910409
601	0.4450488492
602	0.4448690253
603	0.4447412537
604	0.4445886465
605	0.4445457405
606	0.4440707886
607	0.4436306047
608	0.4434213973
609	0.4432109256
610	0.4430426234
611	0.4427290243
612	0.4425262369
613	0.4423962179
614	0.4421237997
615	0.4420816466
616	0.4418577083
617	0.4415001337
618	0.4413710461
619	0.441123822
620	0.4408487389
621	0.4407171297
622	0.4405233119
623	0.4404972119
624	0.4404715416
625	0.4400984322
626	0.4396819853
627	0.4390950607
628	0.438877245
629	0.4384728251
630	0.4383299276
631	0.4379340849
632	0.437667199
633	0.4374039606
634	0.4372258671
635	0.4371401603
636	0.4369622345
637	0.4368879971
638	0.4368638496
639	0.4368349861
640	0.4367265366
641	0.4364118656
642	0.4363269487
643	0.4362096307
644	0.4361235707
645	0.4359724458
646	0.4357818467
647	0.4357590813
648	0.435541895
649	0.4352321643
650	0.4349887996
651	0.4346791049
652	0.434644198
653	0.4344001497
654	0.4343108052
655	0.4341030252
656	0.4338192043
657	0.4336967503
658	0.4335749692
659	0.433557835
660	0.4334443366
661	0.433244599
662	0.4331001724
663	0.4329298413
664	0.4328649978
665	0.4327979726
666	0.4325844926
667	0.4325651426
668	0.4323680772
669	0.432104048
670	0.4319141661
671	0.4318555714
672	0.4318298869
673	0.4316468861
674	0.4314816311
675	0.4313251376
676	0.431070179
677	0.4309616286
678	0.4308934648
679	0.4307585442
680	0.4305825234
681	0.4301685715
682	0.4299273239
683	0.4298046647
684	0.4295797366
685	0.4293054415
686	0.4292263234
687	0.4290586703
688	0.4289282622
689	0.4289162675
690	0.4287870025
691	0.428720158
692	0.4286583043
693	0.4284526108
694	0.428412838
695	0.4281959726
696	0.4280948925
697	0.4278771242
698	0.4275783556
699	0.4272144375
700	0.4268267942
701	0.4266689079
702	0.4261197947
703	0.4257811423
704	0.4254498019
705	0.4251593215
706	0.4247703545
707	0.4245125331
708	0.4243179159
709	0.4240979236
710	0.4239309929
711	0.4235386687
712	0.4234127558
713	0.4231800639
714	0.4230645531
715	0.4229081063
716	0.4227327314
717	0.4223996562
718	0.4220952842
719	0.4216712892
720	0.4214515836
721	0.4212655536
722	0.4210606205
723	0.420905131
724	0.4207892956
725	0.4205322483
726	0.420422613
727	0.4201864591
728	0.4200271522
729	0.4199546205
730	0.4197754085
731	0.4195791776
732	0.4192635144
733	0.4189498017
734	0.4187675072
735	0.4185845892
736	0.4184109469
737	0.4180401563
738	0.4178090097
739	0.4176585788
740	0.4174058541
741	0.4171111166
742	0.4169708833
743	0.4167596067
744	0.4166350522
745	0.4163372326
746	0.4161829305
747	0.4160960332
748	0.4159823376
749	0.415838986
750	0.4156831151
751	0.4156365208
752	0.41536645
753	0.4150515497
754	0.4147157466
755	0.4146273207
756	0.4143462172
757	0.4139839773
758	0.4137821722
759	0.4132810336
760	0.4131428613
761	0.4129039271
762	0.4126618021
763	0.4121857968
764	0.4119553127
765	0.4116648861
766	0.411180773
767	0.4108713935
768	0.4106563848
769	0.4102825845
770	0.4100738994
771	0.4098032146
772	0.4095747835
773	0.4094251443
774	0.4092827139
775	0.4090273276
776	0.408941078
777	0.4087723896
778	0.4083938526
779	0.4081603881
780	0.407889446
781	0.4075974181
782	0.4074630514
783	0.4073088056
784	0.4071221405
785	0.4070857771
786	0.4069609315
787	0.4066857576
788	0.4065320537
789	0.4063872357
790	0.4062170086
791	0.406022956
792	0.4060083542
793	0.4059023497
794	0.4056614581
795	0.4054482618
796	0.4051774174
797	0.4047211651
798	0.4045806946
799	0.4043899554
800	0.4041009005
801	0.4038508959
802	0.4035483371
803	0.4034360475
804	0.4032347947
805	0.403076517
806	0.4029092133
807	0.4028011994
808	0.4026434301
809	0.4025034122
810	0.4024804022
811	0.4022324028
812	0.4021049195
813	0.402022401
814	0.4019498809
815	0.401845181
816	0.4016428148
